"x";"predicted";"std.error";"conf.low";"conf.high";"group";"biomass_tree";"response"
-1,5;2,43573785966405;0,268228810363259;1,43983845771666;4,12047538333519;"1";0,0204089475874863;"Lepidoptera *"
-1;2,10076373303985;0,222265648160004;1,35889014349175;3,24765639311764;"1";0,0369321563968252;"Lepidoptera *"
-0,5;1,81185682381445;0,190168571216452;1,24810779244431;2,63024169056252;"1";0,0534553652061641;"Lepidoptera *"
0;1,56268175158026;0,179535222417354;1,09913207647925;2,22172958917194;"1";0,069978574015503;"Lepidoptera *"
0,5;1,34777440724092;0,193928982315211;0,921604435625649;1,97101465942973;"1";0,0865017828248419;"Lepidoptera *"
1;1,16242213168273;0,22867170301242;0,742537110226933;1,81974098481469;"1";0,103024991634181;"Lepidoptera *"
1,5;1,00256037283862;0,276187959221269;0,583470519340998;1,72267024274262;"1";0,11954820044352;"Lepidoptera *"
2;0,864683554958897;0,331022013410651;0,451950374649615;1,65433572390777;"1";0,136071409252859;"Lepidoptera *"
2,5;0,745768205558935;0,390100117135967;0,347176277597909;1,60198219841142;"1";0,152594618062197;"Lepidoptera *"
3;0,643206654310699;0,45176030469705;0,265345337129956;1,55915609682239;"1";0,169117826871536;"Lepidoptera *"
-1,5;4,40053961539617;0,186863238561903;3,05103829003688;6,34693735896607;"1";0,0204089475874863;"Hymenoptera **"
-1;3,91894244565281;0,159129415104369;2,86891500325258;5,35328159772153;"1";0,0369321563968252;"Hymenoptera **"
-0,5;3,490051501549;0,137586630844837;2,66512684147719;4,57031136150849;"1";0,0534553652061641;"Hymenoptera **"
0;3,10809858842809;0,125465535638942;2,430515127975;3,97458000742305;"1";0,069978574015503;"Hymenoptera **"
0,5;2,76794678562799;0,125525812840461;2,16426268105765;3,5400182589316;"1";0,0865017828248419;"Hymenoptera **"
1;2,46502135955189;0,13775147242592;1,8817694816423;3,22905135954484;"1";0,103024991634181;"Hymenoptera **"
1,5;2,19524823764574;0,159366922640546;1,60631334225655;3,0001088194392;"1";0,11954820044352;"Hymenoptera **"
2;1,9549992158132;0,18714639541943;1,35471296434535;2,82127803779982;"1";0,136071409252859;"Hymenoptera **"
2,5;1,74104316235739;0,218754062854182;1,13398090610869;2,67308847694202;"1";0,152594618062197;"Hymenoptera **"
3;1,55050256218674;0,252757821089865;0,944766838101683;2,54460476214226;"1";0,169117826871536;"Hymenoptera **"
-1,5;29,2569686883929;0,0863836472111099;24,7001410383401;34,6544667702483;"1";0,0204089475874863;"Diptera ***"
-1;26,9912250874813;0,0734081723080525;23,3742372242998;31,1679146888143;"1";0,0369321563968252;"Diptera ***"
-0,5;24,9009471720189;0,0652470887922409;21,9117691735124;28,2979053472879;"1";0,0534553652061641;"Diptera ***"
0;22,9725463758687;0,0637761946830872;20,2732203891996;26,0312805198223;"1";0,069978574015503;"Diptera ***"
0,5;21,1934864704445;0,0694220498025385;18,4973813823099;24,2825651636549;"1";0,0865017828248419;"Diptera ***"
1;19,5522020686717;0,0807046254402798;16,691669433134;22,9029581052751;"1";0,103024991634181;"Diptera ***"
1,5;18,0380234402344;0,0956496195197042;14,9544981449274;21,7573526357896;"1";0,11954820044352;"Diptera ***"
2;16,6411071493468;0,112810728387025;13,3400528718792;20,7590217082125;"1";0,136071409252859;"Diptera ***"
2,5;15,3523720641336;0,131322004029396;11,8684497256824;19,8589818757512;"1";0,152594618062197;"Diptera ***"
3;14,163440321628;0,150686676994089;10,5415391247027;19,0297677949353;"1";0,169117826871536;"Diptera ***"
-1,5;10,6755315649357;0,131555536589516;8,24915061676598;13,8156010828928;"1";0,0204089475874863;"Coleoptera *"
-1;10,0103221462876;0,113923820873664;8,00711234117218;12,5146925886375;"1";0,0369321563968252;"Coleoptera *"
-0,5;9,38656298873102;0,102356550064304;7,68034175576675;11,471828668986;"1";0,0534553652061641;"Coleoptera *"
0;8,80167126030911;0,0990027188676659;7,24926334446705;10,6865226566337;"1";0,069978574015503;"Coleoptera *"
0,5;8,2532250694484;0,1046549662884;6,72266112397226;10,1322560799738;"1";0,0865017828248419;"Coleoptera *"
1;7,73895343650672;0,118026413221678;6,14070124179256;9,75318582262373;"1";0,103024991634181;"Coleoptera *"
1,5;7,25672689020971;0,136873135021577;5,54924826321358;9,48958897877766;"1";0,11954820044352;"Coleoptera *"
2;6,80454865003851;0,15926306724036;4,9800574734342;9,29745943249357;"1";0,136071409252859;"Coleoptera *"
2,5;6,38054635805687;0,183906614091208;4,44955187834425;9,14954425533346;"1";0,152594618062197;"Coleoptera *"
3;5,98296432594135;0,210011926922471;3,96418521136569;9,02981576714852;"1";0,169117826871536;"Coleoptera *"
-1,5;0,850731706667989;0,297857342889609;0,474521603485653;1,52520861308291;"1";0,0204089475874863;"Orthoptera *"
-1;0,752079891314924;0,268720621585191;0,444148877781706;1,27350127674592;"1";0,0369321563968252;"Orthoptera *"
-0,5;0,664867852563783;0,247457776094175;0,409353863585605;1,0798707443501;"1";0,0534553652061641;"Orthoptera *"
0;0,587769020921307;0,236204852122659;0,369954877695658;0,933823130287238;"1";0,069978574015503;"Orthoptera *"
0,5;0,519610657399997;0,23639567702386;0,326932190959008;0,825844755426701;"1";0,0865017828248419;"Orthoptera *"
1;0,459356015157876;0,248003836255249;0,282519324760161;0,746879700497843;"1";0,103024991634181;"Orthoptera *"
1,5;0,406088569694767;0,269558328032248;0,239426546135956;0,688762082142302;"1";0,11954820044352;"Orthoptera *"
2;0,358998077732942;0,298915179203451;0,19982741086049;0,644954659928637;"1";0,136071409252859;"Orthoptera *"
2,5;0,3173682527258;0,334023471087573;0,164908175496682;0,610779953964465;"1";0,152594618062197;"Orthoptera *"
3;0,280565869528568;0,373263816688705;0,134993265084603;0,583119514110482;"1";0,169117826871536;"Orthoptera *"
-1,5;10,5571196354196;0,157862691296633;7,74769430315675;14,3852829804024;"1";0,0204089475874863;"Araneae *"
-1;9,96166629505989;0,135800965102501;7,6337511456927;12,9994800040246;"1";0,0369321563968252;"Araneae *"
-0,5;9,39979831631304;0,119467361623502;7,43751291413343;11,8798057102475;"1";0,0534553652061641;"Araneae *"
0;8,86962138364125;0,111410387374546;7,12971857861027;11,0341218411008;"1";0,069978574015503;"Araneae *"
0,5;8,36934802660782;0,113407997459472;6,70129235642558;10,4526086409766;"1";0,0865017828248419;"Araneae *"
1;7,8972915934917;0,124978993881949;6,18152829357405;10,0892872362111;"1";0,103024991634181;"Araneae *"
1,5;7,45186056480826;0,143831149223235;5,62128265966394;9,87856851173968;"1";0,11954820044352;"Araneae *"
2;7,0315531875647;0,167524104573534;5,06354285353178;9,76445576935632;"1";0,136071409252859;"Araneae *"
2,5;6,63495241215957;0,194294949215381;4,53370911056092;9,71006132905061;"1";0,152594618062197;"Araneae *"
3;6,26072111485639;0,223038123465936;4,0436537764924;9,69336917662845;"1";0,169117826871536;"Araneae *"
-1,5;69,1420510220288;0,29591582973413;38,7131265586581;123,488430010664;"1";0,0204089475874863;"Formicidae **"
-1;83,8031672276623;0,251016917482228;51,238268478466;137,064952543021;"1";0,0369321563968252;"Formicidae **"
-0,5;101,573076493638;0,219149896204457;66,1055429984253;156,069966305672;"1";0,0534553652061641;"Formicidae **"
0;123,110977898421;0,206440622745797;82,143689307449;184,509765837009;"1";0,069978574015503;"Formicidae **"
0,5;149,2158493403;0,21629298186031;97,6575973749595;227,99424000632;"1";0,0865017828248419;"Formicidae **"
1;180,856086714853;0,246011070591304;111,667842820831;292,912653057078;"1";0,103024991634181;"Formicidae **"
1,5;219,205427884639;0,289541204794824;124,277750434503;386,642174050388;"1";0,11954820044352;"Formicidae **"
2;265,686494089898;0,341644027115506;136,007091990768;519,012002304799;"1";0,136071409252859;"Formicidae **"
2,5;322,023564028398;0,398974990221776;147,326043180845;703,87538788549;"1";0,152594618062197;"Formicidae **"
3;390,30653833109;0,459581672774639;158,565681138012;960,7324407821;"1";0,169117826871536;"Formicidae **"
