"Day";"Month";"Year";"Farm";"Tree";"Treatment";"Visit";"Hemiptera";"Lepidoptera";"Hymenoptera";"Neuroptera";"Diptera";"Coleoptera";"Orthoptera";"Arachnida";"Formicidae";"Brown.capsid";"Mealybugs";"Blatodae";"Mantodae";"Odonata";"Dermaptera";"Diplopoda";"Gasteropoda";"Haplotaxida";"Squamata";"TreeHeight";"DBH";"shade_treelevel";"DiameterBranches";"biomass_tree";"shade_cover";"area";"trees_planted";"n_tree";"rich_tree";"shade_heigth";"shade_dbh";"n_forest";"rich_forest";"n_fruit";"rich_fruit";"cacao_heigth";"cacao_dbh";"mean_dist_cacao";"n_cacao";"cacao_dens";"yield_2018";"yieldst_2018";"forestcover8k";"allforestcover_1.5k";"biomass_cocoa_mean";"biomass_cocoa_total";"bat_ins";"bat_dcyc";"bat_hrub";"bat_hip";"bat_nyc";"bat_ralc";"bird_ins";"bird_cam";"bird_dyap";"bird_hpra";"bird_terp";"Month_number";"roll.mean";"Tree_ID"
1;"July";2020;"ELAT NORTH";"Control A";"Control";5;288;7;11;0;13;5;0;5;351;0;0;0;0;0;0;0;0;0;0;3,68;19,8;91,355;15,6;0,0440092451502009;79,65;2;1979;64;32;43,403125;13,7765625;43;26;23;6;7,95;3,91;3,16;2007,12;1003,56;0,7;0,35;36,66;692,12;0,00459287257754786;4,60922320392393;0,0893167073889966;0;0,0410733844468784;0;0;0,00821467688937568;0,21505923837461;0,0579084560024924;0,0165061898211829;0;0;7;7,2;"ELAT NORTH_Control A"
1;"July";2020;"ELAT NORTH";"Treatment A";"Exclosure";5;202;1;11;0;17;4;1;8;73;0;27;0;0;0;0;0;0;0;0;3,08;18;55,3;18;0,0307116695636787;79,65;2;1979;64;32;43,403125;13,7765625;43;26;23;6;7,95;3,91;3,16;2007,12;1003,56;0,7;0,35;36,66;692,12;0,00459287257754786;4,60922320392393;0,0893167073889966;0;0,0410733844468784;0;0;0,00821467688937568;0,21505923837461;0,0579084560024924;0,0165061898211829;0;0;7;7,2;"ELAT NORTH_Treatment A"
1;"July";2020;"ELAT NORTH";"Control B";"Control";5;26;5;17;0;20;2;1;2;407;0;0;0;0;0;0;1;0;0;0;3,49;16;85,032;16;0,0275693051261638;79,65;2;1979;64;32;43,403125;13,7765625;43;26;23;6;7,95;3,91;3,16;2007,12;1003,56;0,7;0,35;36,66;692,12;0,00459287257754786;4,60922320392393;0,0893167073889966;0;0,0410733844468784;0;0;0,00821467688937568;0,21505923837461;0,0579084560024924;0,0165061898211829;0;0;7;7,2;"ELAT NORTH_Control B"
1;"July";2020;"ELAT NORTH";"Treatment B";"Exclosure";5;3;7;29;0;44;2;0;6;31;0;0;0;0;0;0;0;0;0;0;3,12;16;84,543;13,2;0,0247128644495379;79,65;2;1979;64;32;43,403125;13,7765625;43;26;23;6;7,95;3,91;3,16;2007,12;1003,56;0,7;0,35;36,66;692,12;0,00459287257754786;4,60922320392393;0,0893167073889966;0;0,0410733844468784;0;0;0,00821467688937568;0,21505923837461;0,0579084560024924;0,0165061898211829;0;0;7;7,2;"ELAT NORTH_Treatment B"
1;"July";2020;"PAIJA2";"Treatment A";"Exclosure";5;12;1;21;0;127;45;0;6;104;0;0;0;0;0;0;0;0;0;0;3,17;26,2;66,882;18,15;0,0657270223471754;64,25;7,5;2011;36;21;12,61666667;27,875;26;18;9;2;2,79;7,79;3,05;8075,58;1076,74;2;0,266666667;30,9;694,54;0,00618660410106456;6,66136409978026;0,0415998754960703;0;0,00828729281767956;0,00845070422535211;0;0,0248618784530387;0,0408078408078409;0,00810810810810813;0;0;0;7;7,05;"PAIJA2_Treatment A"
1;"July";2020;"PAIJA2";"Control A";"Control";5;84;1;17;0;26;19;1;14;24;0;0;0;0;0;0;0;0;0;0;3,58;30;72,562;20,47;0,0964087651797462;64,25;7,5;2011;36;21;12,61666667;27,875;26;18;9;2;2,79;7,79;3,05;8075,58;1076,74;2;0,266666667;30,9;694,54;0,00618660410106456;6,66136409978026;0,0415998754960703;0;0,00828729281767956;0,00845070422535211;0;0,0248618784530387;0,0408078408078409;0,00810810810810813;0;0;0;7;7,05;"PAIJA2_Control A"
1;"July";2020;"PAIJA2";"Control B";"Control";5;10;2;8;0;28;15;0;6;88;0;1;0;0;0;0;0;0;0;0;3,33;28,6;47,797;23,1;0,0818310390618552;64,25;7,5;2011;36;21;12,61666667;27,875;26;18;9;2;2,79;7,79;3,05;8075,58;1076,74;2;0,266666667;30,9;694,54;0,00618660410106456;6,66136409978026;0,0415998754960703;0;0,00828729281767956;0,00845070422535211;0;0,0248618784530387;0,0408078408078409;0,00810810810810813;0;0;0;7;7,05;"PAIJA2_Control B"
1;"July";2020;"PAIJA2";"Treatment B";"Exclosure";5;7;4;18;0;96;17;0;6;167;0;1;0;1;0;0;0;1;0;0;3,25;27;55,081;22,58;0,0714177600954163;64,25;7,5;2011;36;21;12,61666667;27,875;26;18;9;2;2,79;7,79;3,05;8075,58;1076,74;2;0,266666667;30,9;694,54;0,00618660410106456;6,66136409978026;0,0415998754960703;0;0,00828729281767956;0,00845070422535211;0;0,0248618784530387;0,0408078408078409;0,00810810810810813;0;0;0;7;7,05;"PAIJA2_Treatment B"
1;"May";2020;"ELAT SOUTH";"Treatment A";"Exclosure";3;121;0;4;0;15;8;1;1;55;0;25;0;1;0;0;0;0;0;0;3,07;27;17,783;18,7;0,0675546299364926;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;5;6,24;"ELAT SOUTH_Treatment A"
1;"May";2020;"ELAT SOUTH";"Control A";"Control";3;10;1;7;0;15;12;0;1;70;0;0;0;0;0;0;0;0;0;0;3,24;23,8;82,491;16,4;0,0556616591185519;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;5;6,24;"ELAT SOUTH_Control A"
