"x";"predicted";"std.error";"conf.low";"conf.high";"group";"shade_treelevel";"response"
-2,4;109,135696861742;0,334168194637659;56,6920736835465;210,092867584678;"Control";8,8257482864753;"Hemiptera (*)"
-2,4;330,810970381341;0,277400764672747;192,068411361922;569,775619783881;"Exclosure";8,8257482864753;"Hemiptera (*)"
-2,2;110,749496494596;0,317785082552753;59,4076820806323;206,462372276348;"Control";13,0208972626024;"Hemiptera (*)"
-2,2;318,765346121089;0,265250778813092;189,53491710203;536,108847073273;"Exclosure";13,0208972626024;"Hemiptera (*)"
-2;112,387159531723;0,301959337828427;62,1854012094136;203,116380725335;"Control";17,2160462387294;"Hemiptera (*)"
-2;307,158332054604;0,253751415208123;186,796486997897;505,075028266609;"Exclosure";17,2160462387294;"Hemiptera (*)"
-1,8;114,049038843489;0,286783248000224;65,0101676952964;200,079214102147;"Control";21,4111952148565;"Hemiptera (*)"
-1,8;295,973957328244;0,242995060481782;183,829721312835;476,531122339383;"Exclosure";21,4111952148565;"Hemiptera (*)"
-1,6;115,735492518184;0,27236543023737;67,8623179499001;197,380588124257;"Control";25,6063441909835;"Hemiptera (*)"
-1,6;285,19683262562;0,233084602143108;180,610387714239;450,346374696771;"Exclosure";25,6063441909835;"Hemiptera (*)"
-1,4;117,446883939183;0,258832630219358;70,7168267384589;195,056412783327;"Control";29,8014931671106;"Hemiptera (*)"
-1,4;274,812128992418;0,224132277312135;177,11451585389;426,400432947271;"Exclosure";29,8014931671106;"Hemiptera (*)"
-1,2;119,183581863244;0,246330753190114;73,5426569516955;193,149483232331;"Control";33,9966421432377;"Hemiptera (*)"
-1,2;264,80555743227;0,216257109361248;173,320011873134;404,580997250006;"Exclosure";33,9966421432377;"Hemiptera (*)"
-1;120,945960499967;0,235024373398165;76,3024105656461;191,709871979399;"Control";38,1917911193647;"Hemiptera (*)"
-1;255,163349245587;0,209580558746961;169,208820824241;384,78097348042;"Exclosure";38,1917911193647;"Hemiptera (*)"
-0,8;122,734399592423;0,225093711236555;78,9525548498665;190,794748465799;"Control";42,3869400954918;"Hemiptera (*)"
-0,8;245,872237084292;0,204220218145364;164,769539472177;366,895223246298;"Exclosure";42,3869400954918;"Hemiptera (*)"
-0,6;124,549284498977;0,216727958990862;81,4445567065039;190,467293291417;"Control";46,5820890716188;"Hemiptera (*)"
-0,6;236,919436696412;0,200281796559843;160,000196887302;350,817190081843;"Exclosure";46,5820890716188;"Hemiptera (*)"
-0,4;126,391006276327;0,210114121851669;83,7272267923806;190,794405589895;"Control";50,7772380477459;"Hemiptera (*)"
