"Day";"Month";"Year";"Farm";"Tree";"Treatment";"Visit";"Flowers";"PodBig";"PodMedium";"PodSmall";"Ripe";"BPD";"Mammal";"PestFeeding";"DBT";"IR";"CherelleWilt";"TreeHeight";"DBH";"shade_treelevel";"DiameterBranches";"biomass_tree";"shade_cover";"area";"trees_planted";"n_tree";"rich_tree";"shade_heigth";"shade_dbh";"n_forest";"rich_forest";"n_fruit";"rich_fruit";"cacao_heigth";"cacao_dbh";"mean_dist_cacao";"n_cacao";"cacao_dens";"yield_2018";"yieldst_2018";"forestcover8k";"allforestcover_1.5k";"biomass_cocoa_mean";"biomass_cocoa_total";"bat_ins";"bat_dcyc";"bat_hrub";"bat_hip";"bat_nyc";"bat_ralc";"bird_ins";"bird_cam";"bird_dyap";"bird_hpra";"bird_terp";"Month_number";"roll.mean";"Tree_ID";"PodSmallAll";"TotalPods";"PodBigMed";"PodSmallT1";"all_damage";"small_damage";"prop_alldamage";"prop_smalldamage";"prop_Ripe";"prop_BPD";"prop_Mammal";"prop_PestFeeding";"prop_DBT";"prop_IR";"prop_CherelleWilt"
13;"Feb";2020;"ADZAP";"Control A";"Control";1;0;0;0;0;0;0;0;0;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;2;0,01;"ADZAP_Control A";0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;"November";2020;"ADZAP";"Control A";"Control";10;7;5;1;0;5;1;0;5;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;11;0,69;"ADZAP_Control A";0;6;6;0;6;0;1;NA;0,833333333333333;0,166666666666667;0;0,833333333333333;0;NA;NA
26;"January";2021;"ADZAP";"Control A";"Control";12;0;0;1;0;0;0;0;1;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;1;0,07;"ADZAP_Control A";0;1;1;9;1;0;1;NA;0;0;0;1;0;NA;NA
26;"July";2020;"ADZAP";"Control A";"Control";6;17;0;1;9;0;0;0;3;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;7;6,39;"ADZAP_Control A";9;10;1;0;3;0;0,3;0;0;0;0;0,3;0;0;0
26;"October";2020;"ADZAP";"Control A";"Control";9;7;10;1;0;4;0;0;11;1;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;10;10,01;"ADZAP_Control A";0;11;11;2;12;0;1,09090909090909;NA;0,363636363636364;0;0;1;0,0909090909090909;NA;NA
26;"September";2020;"ADZAP";"Control A";"Control";8;25;8;2;1;0;0;0;11;0;1;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;9;8,48;"ADZAP_Control A";2;12;10;0;11;1;0,916666666666667;0,5;0;0;0;0,916666666666667;0;0,5;0
27;"December";2020;"ADZAP";"Control A";"Control";11;3;0;1;0;0;0;0;1;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;12;0,06;"ADZAP_Control A";0;1;1;1;1;0;1;NA;0;0;0;1;0;NA;NA
27;"Mar";2020;"ADZAP";"Control A";"Control";2;37;0;0;1;0;1;0;0;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;3;26,32;"ADZAP_Control A";1;1;0;0;1;0;1;0;0;1;0;0;0;0;0
28;"May";2020;"ADZAP";"Control A";"Control";4;28;2;0;0;0;0;0;0;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;5;5,45;"ADZAP_Control A";0;2;2;3;0;0;0;NA;0;0;0;0;0;NA;NA
29;"August";2020;"ADZAP";"Control A";"Control";7;1;2;3;3;0;0;0;8;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;8;12,29;"ADZAP_Control A";3;8;5;7;8;0;1;0;0;0;0;1;0;0;0
29;"June";2020;"ADZAP";"Control A";"Control";5;20;0;0;7;0;0;0;3;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;6;7,88;"ADZAP_Control A";7;7;0;0;3;0;0,428571428571429;0;0;0;0;0,428571428571429;0;0;0
3;"May";2020;"ADZAP";"Control A";"Control";3;1;0;0;0;0;0;0;0;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;5;7,56;"ADZAP_Control A";0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;"November";2020;"ADZAP";"Control B";"Control";10;0;15;0;0;8;0;0;15;1;0;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;11;0,69;"ADZAP_Control B";0;15;15;0;16;0;1,06666666666667;NA;0,533333333333333;0;0;1;0,0666666666666667;NA;NA
26;"January";2021;"ADZAP";"Control B";"Control";12;0;0;0;0;0;0;0;0;0;0;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;1;0,07;"ADZAP_Control B";0;0;0;51;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;"July";2020;"ADZAP";"Control B";"Control";6;0;6;5;50;0;0;0;15;0;0;1;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;7;6,39;"ADZAP_Control B";51;62;11;6;15;1;0,241935483870968;0,0196078431372549;0;0;0;0,241935483870968;0;0;0,0196078431372549
26;"October";2020;"ADZAP";"Control B";"Control";9;0;20;0;3;5;1;0;4;1;3;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;10;10,01;"ADZAP_Control B";6;26;20;9;6;3;0,230769230769231;0,5;0,192307692307692;0,0384615384615385;0;0,153846153846154;0,0384615384615385;0,5;0
26;"September";2020;"ADZAP";"Control B";"Control";8;0;21;5;6;1;0;0;3;0;3;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;9;8,48;"ADZAP_Control B";9;35;26;0;3;3;0,0857142857142857;0,333333333333333;0,0285714285714286;0;0;0,0857142857142857;0;0,333333333333333;0
27;"December";2020;"ADZAP";"Control B";"Control";11;0;6;0;0;6;0;0;6;0;0;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;12;0,06;"ADZAP_Control B";0;6;6;0;6;0;1;NA;1;0;0;1;0;NA;NA
27;"Mar";2020;"ADZAP";"Control B";"Control";2;5;0;0;0;0;0;0;0;0;0;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;3;26,32;"ADZAP_Control B";0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;"May";2020;"ADZAP";"Control B";"Control";4;63;16;0;0;0;0;0;0;0;0;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;5;5,45;"ADZAP_Control B";0;16;16;74;0;0;0;NA;0;0;0;0;0;NA;NA
29;"August";2020;"ADZAP";"Control B";"Control";7;0;14;4;48;0;10;0;31;0;26;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;8;12,29;"ADZAP_Control B";74;92;18;42;41;26;0,445652173913043;0,351351351351351;0;0,108695652173913;0;0,33695652173913;0;0,351351351351351;0
29;"June";2020;"ADZAP";"Control B";"Control";5;30;0;5;40;0;0;0;1;0;2;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;6;7,88;"ADZAP_Control B";42;47;5;7;1;2;0,0212765957446809;0,0476190476190476;0;0;0;0,0212765957446809;0;0,0476190476190476;0
3;"May";2020;"ADZAP";"Control B";"Control";3;39;0;0;7;0;0;0;0;0;0;0;3,86;37,8;56,813;20,9;0,162914297410242;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;5;7,56;"ADZAP_Control B";7;7;0;NA;0;0;0;0;0;0;0;0;0;0;0
13;"Feb";2020;"ADZAP";"Treatment A";"Exclosure";1;13;0;0;0;0;0;0;0;0;0;0;3,09;26,2;30,476;17,6;0,0641076111086343;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;2;0,01;"ADZAP_Treatment A";0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;"November";2020;"ADZAP";"Treatment A";"Exclosure";10;1;11;0;0;7;0;0;11;1;0;0;3,09;26,2;30,476;17,6;0,0641076111086343;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;11;0,69;"ADZAP_Treatment A";0;11;11;0;12;0;1,09090909090909;NA;0,636363636363636;0;0;1;0,0909090909090909;NA;NA
26;"January";2021;"ADZAP";"Treatment A";"Exclosure";12;1;0;0;0;0;0;0;0;0;0;0;3,09;26,2;30,476;17,6;0,0641076111086343;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;1;0,07;"ADZAP_Treatment A";0;0;0;11;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
